step,train_loss,eval_loss
25,0.2394,
50,0.1482,
75,0.1104,
100,0.1043,
125,0.0847,
150,0.0813,
175,0.0743,
200,0.0742,
200,,0.0697031319141388
225,0.0677,
250,0.0667,
275,0.0642,
300,0.0551,
325,0.0555,
350,0.0601,
375,0.0538,
400,0.0631,
400,,0.05042058229446411
425,0.0545,
450,0.0467,
475,0.0465,
500,0.0477,
525,0.049,
550,0.0489,
575,0.0463,
600,0.0476,
600,,0.046757131814956665
625,0.0463,
650,0.0428,
675,0.0472,
700,0.0538,
725,0.0513,
750,0.0478,
775,0.0502,
800,0.0461,
800,,0.042523544281721115
825,0.0406,
850,0.0435,
875,0.0461,
900,0.0441,
925,0.0397,
950,0.0422,
975,0.0438,
1000,0.0441,
1000,,0.041142117232084274
1025,0.0401,
1050,0.038,
1075,0.0347,
1100,0.0411,
1125,0.0437,
1150,0.042,
1175,0.0425,
1200,0.0404,
1200,,0.038988322019577026
1225,0.036,
1250,0.0348,
1275,0.0368,
1300,0.0385,
1325,0.0331,
1350,0.0343,
1375,0.0351,
1400,0.042,
1400,,0.03741976618766785
1425,0.0433,
1450,0.0417,
1475,0.0344,
1500,0.0367,
1525,0.0414,
1550,0.0364,
1575,0.035,
1600,0.0471,
1600,,0.03714815899729729
1625,0.0405,
1650,0.0323,
1675,0.0383,
1700,0.0408,
1725,0.036,
1750,0.0383,
1775,0.0355,
1800,0.0448,
1800,,0.03594176471233368
1825,0.0375,
1850,0.0405,
1875,0.0395,
1900,0.0372,
1925,0.035,
1950,0.04,
1975,0.0402,
2000,0.0389,
2000,,0.034530069679021835
2025,0.035,
2050,0.0311,
2075,0.0379,
2100,0.0369,
2125,0.0357,
2150,0.0336,
2175,0.0349,
2200,0.0386,
2200,,0.03358163684606552
2225,0.0386,
2250,0.0385,
2275,0.0365,
2300,0.034,
2325,0.0328,
2350,0.0332,
2375,0.0371,
2400,0.033,
2400,,0.03290295973420143
2425,0.033,
2450,0.0344,
2475,0.0341,
2500,0.0339,
2525,0.0345,
2550,0.0373,
2575,0.0362,
2600,0.0325,
2600,,0.03274473547935486
2625,0.028,
2650,0.0345,
2675,0.0392,
2700,0.031,
2725,0.0286,
2750,0.0332,
2775,0.032,
2800,0.0335,
2800,,0.03277141973376274
2825,0.0344,
2850,0.0279,
2875,0.0309,
2900,0.034,
2925,0.0301,
2950,0.0377,
2975,0.0304,
3000,0.0354,
3000,,0.03185524791479111
3025,0.0342,
3050,0.0328,
3075,0.0303,
3100,0.0268,
3125,0.0378,
3150,0.0298,
3175,0.031,
3200,0.0317,
3200,,0.031695932149887085
3225,0.0364,
3250,0.0283,
3275,0.0348,
3300,0.0336,
3325,0.0312,
3350,0.0383,
3375,0.0317,
3400,0.0348,
3400,,0.03134012222290039
3425,0.0324,
3450,0.0337,
3475,0.0297,
3500,0.0309,
